"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"4",4,NA,"Hamburger SV",1866,746,495,625,"2937:2662",275,2733,"Latest news »"
"5",5,NA,"VfB Stuttgart",1857,757,450,650,"3056:2730",326,2721,"Latest news »"
"6",6,NA,"Bor. Mönchengladbach",1831,741,478,612,"3110:2668",442,2701,"Latest news »"
"7",7,NA,"FC Schalke 04",1798,693,453,652,"2607:2607",0,2532,"Latest news »"
"8",8,NA,"Eintracht Frankfurt",1789,659,455,675,"2812:2770",42,2430,"Latest news »"
"9",9,NA,"1. FC Köln",1686,656,431,599,"2738:2531",207,2399,"Latest news »"
"10",10,NA,"Bayer Leverkusen",1457,629,395,433,"2469:1951",518,2282,"Latest news »"
"11",11,NA,"1. FC Kaiserslautern",1492,575,372,545,"2348:2344",4,2094,"Latest news »"
"12",12,NA,"Hertha BSC",1309,467,331,511,"1834:2020",-186,1732,"Latest news »"
"13",13,NA,"VfL Bochum",1185,365,311,509,"1629:1922",-293,1406,"Latest news »"
"14",14,NA,"1. FC Nürnberg",1118,344,286,488,"1428:1794",-366,1318,"Latest news »"
"15",15,NA,"VfL Wolfsburg",841,322,215,304,"1263:1221",42,1181,"Latest news »"
"16",16,NA,"Hannover 96",1016,308,250,458,"1385:1734",-349,1174,"Latest news »"
"17",17,NA,"MSV Duisburg",948,296,259,393,"1291:1520",-229,1147,"Latest news »"
"18",18,NA,"Fortuna Düsseldorf",854,264,232,358,"1245:1518",-273,1024,"Latest news »"
"19",19,NA,"Karlsruher SC",812,241,230,341,"1093:1408",-315,953,"Latest news »"
"20",20,NA,"Eintracht Braunschweig",706,242,177,287,"937:1086",-149,903,"Latest news »"
"21",21,NA,"SC Freiburg",739,232,193,314,"942:1167",-225,889,"Latest news »"
"22",22,NA,"TSV 1860 München",672,238,170,264,"1022:1059",-37,884,"Latest news »"
"23",23,NA,"1. FSV Mainz 05",534,179,133,222,"696:792",-96,670,"Latest news »"
"24",24,NA,"Arminia Bielefeld",637,173,164,300,"693:968",-275,658,"Latest news »"
"25",25,NA,"1899 Hoffenheim",466,169,133,164,"752:714",38,640,"Latest news »"
"26",26,NA,"KFC Uerdingen 05",476,138,129,209,"644:844",-200,543,"Latest news »"
"27",27,NA,"Hansa Rostock",412,124,107,181,"492:621",-129,479,"Latest news »"
"28",28,NA,"FC Augsburg",365,107,98,160,"438:568",-130,419,"Latest news »"
"29",29,NA,"RB Leipzig",195,103,49,43,"378:219",159,358,"Latest news »"
"30",30,NA,"Waldhof Mannheim",238,71,72,95,"299:378",-79,285,"Latest news »"
"31",31,NA,"Kickers Offenbach",238,77,51,110,"368:486",-118,282,"Latest news »"
"32",32,NA,"Rot-Weiss Essen",238,61,79,98,"346:483",-137,262,"Latest news »"
"33",33,NA,"FC St. Pauli",272,58,80,134,"296:485",-189,254,"Latest news »"
"34",34,NA,"Energie Cottbus",204,56,43,105,"211:338",-127,211,"Latest news »"
"35",35,NA,"Alemannia Aachen",136,43,28,65,"186:270",-84,157,"Latest news »"
"36",36,NA,"SG Wattenscheid 09",140,34,48,58,"186:248",-62,150,"Latest news »"
"37",37,NA,"1. FC Saarbrücken",166,32,48,86,"202:336",-134,144,"Latest news »"
"38",38,NA,"Dynamo Dresden",140,33,45,62,"132:211",-79,140,"Latest news »"
"39",39,NA,"Rot-Weiß Oberhausen",136,36,31,69,"182:281",-99,139,"Latest news »"
"40",40,NA,"1. FC Union Berlin",93,34,26,33,"123:134",-11,128,"Latest news »"
"41",41,NA,"SV Darmstadt 98",136,28,33,75,"152:273",-121,117,"Latest news »"
"42",42,NA,"Wuppertaler SV",102,25,27,50,"136:200",-64,102,"Latest news »"
"43",43,NA,"Borussia Neunkirchen",98,25,18,55,"109:223",-114,93,"Latest news »"
"44",44,NA,"FC 08 Homburg",102,21,27,54,"103:200",-97,90,"Latest news »"
"45",45,NA,"SpVgg Unterhaching",68,20,19,29,"75:101",-26,79,"Latest news »"
"46",46,NA,"Stuttgarter Kickers",72,20,17,35,"94:132",-38,77,"Latest news »"
"47",47,NA,"FC Ingolstadt 04",68,18,18,32,"69:99",-30,72,"Latest news »"
"48",48,NA,"SC Paderborn 07",68,11,18,39,"68:139",-71,51,"Latest news »"
"49",49,NA,"TeBe Berlin",68,11,16,41,"85:174",-89,49,"Latest news »"
"50",50,NA,"SSV Ulm 1846",34,9,8,17,"36:62",-26,35,"Latest news »"
"51",51,NA,"SpVgg Greuther Fürth",59,7,14,38,"49:124",-75,35,"Latest news »"
"52",52,NA,"Fortuna Köln",34,8,9,17,"46:79",-33,33,"Latest news »"
"53",53,NA,"Preußen Münster",30,7,9,14,"34:52",-18,30,"Latest news »"
"54",54,NA,"Blau-Weiß 90 Berlin",34,3,12,19,"36:76",-40,21,"Latest news »"
"55",55,NA,"1. FC Lok Leipzig",34,3,11,20,"32:69",-37,20,"Latest news »"
"56",56,NA,"SV Tasmania Berlin",34,2,4,28,"15:108",-93,10,"Latest news »"
"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"1",1,NA,"Olympique Marseille",2566,1141,660,765,"4119:3288",831,4082,"Latest news »"
"2",2,NA,"Girondins Bordeaux",2532,1073,690,769,"3743:3093",650,3909,"Latest news »"
"3",3,NA,"AS Saint-Étienne",2520,1060,662,798,"3844:3242",602,3839,"Latest news »"
"4",4,NA,"AS Monaco",2320,1032,638,650,"3500:2614",886,3734,"Latest news »"
"5",5,NA,"Olympique Lyon",2351,1006,596,749,"3518:3046",472,3613,"Latest news »"
"6",6,NA,"Lille OSC",2278,875,622,781,"3185:2848",337,3247,"Latest news »"
