"x","y","Competition","Apperances","Goals","Assists","Own Goals","Substitutions in","Substitutions out","Yellow Card","Second Yellow Card","Red Card","Penalty Goals","Minutes Per Goal","Minutes Played"
"2","","Premier League",34,"19","10","-","1","13","1","-","-","3","152'","2.888'",NA
"3","","Champions League",8,"4","2","-","-","2","-","-","-","-","183'","732'",NA
"4","","Club World Cup",2,"-","1","-","-","1","1","-","-","-","-","210'",NA
"5","","FA Cup",2,"-","-","-","2","-","-","-","-","-","-","21'",NA
"6","","UEFA Super Cup",1,"-","-","-","-","-","-","-","-","-","-","120'",NA
"7","","Community Shield",1,"-","-","-","-","-","-","-","-","-","-","90'",NA
