"x","y","Competition","Apperances","Goals","Assists","Own Goals","Substitutions in","Substitutions out","Yellow Card","Second Yellow Card","Red Card","Penalty Goals","Minutes Per Goal","Minutes Played"
"2","","Premier League",38,"22","10","-","1","13","1","-","-","3","148'","3.261'",NA
"3","","Champions League",12,"5","2","-","-","2","1","-","-","2","212'","1.058'",NA
"4","","FA Cup",1,"-","-","-","1","-","-","-","-","-","-","20'",NA
"5","","EFL Cup",1,"-","-","-","1","-","-","-","-","-","-","3'",NA
