"x","y","Competition","Apperances","Goals","Assists","Own Goals","Substitutions in","Substitutions out","Yellow Card","Second Yellow Card","Red Card","Penalty Goals","Minutes Per Goal","Minutes Played"
"2","","Premier League",37,"22","5","-","3","7","-","-","-","6","140'","3.082'",NA
"3","","Champions League",10,"6","1","-","1","4","-","-","-","1","130'","781'",NA
"4","","FA Cup",2,"3","-","-","-","1","-","-","-","-","55'","164'",NA
"5","","Community Shield",1,"-","-","-","-","-","-","-","-","-","-","90'",NA
"6","","EFL Cup",1,"-","-","-","-","1","-","-","-","-","-","61'",NA
